#P_AB   P_AC     delta*    P_AB    P_AC     delta
0.75072 0.697835 0.119647 0.75072 0.751811 0.196304 

0.750889 0.697649 0.119522 0.750889 0.751718 0.196071 

0.751059 0.697462 0.119398 0.751059 0.751625 0.195837 

0.751228 0.697276 0.119273 0.751228 0.751532 0.195604 

0.751398 0.697089 0.119149 0.751398 0.751439 0.195371 

0.751568 0.696902 0.119024 0.751568 0.751345 0.195138 

0.751737 0.696714 0.1189 0.751737 0.751251 0.194905 

0.751907 0.696526 0.118776 0.751907 0.751157 0.194672 

0.752076 0.696338 0.118652 0.752076 0.751063 0.194439 

0.752246 0.69615 0.118528 0.752246 0.750969 0.194206 

0.752415 0.695961 0.118404 0.752415 0.750875 0.193973 

0.752585 0.695772 0.118281 0.752585 0.75078 0.19374 

0.752754 0.695583 0.118157 0.752754 0.750685 0.193508 

0.752924 0.695393 0.118033 0.752924 0.750591 0.193275 

0.753094 0.695203 0.11791 0.753094 0.750496 0.193042 

0.753263 0.695013 0.117786 0.753263 0.7504 0.192809 

0.753433 0.694822 0.117663 0.753433 0.750305 0.192576 

0.753602 0.694631 0.11754 0.753602 0.75021 0.192344 

0.753772 0.69444 0.117417 0.753772 0.750114 0.192111 

0.753941 0.694248 0.117294 0.753941 0.750018 0.191878 

0.754111 0.694056 0.117171 0.754111 0.749922 0.191645 

0.75428 0.693864 0.117048 0.75428 0.749826 0.191413 

0.75445 0.693672 0.116925 0.75445 0.74973 0.19118 

0.75462 0.693479 0.116802 0.75462 0.749634 0.190947 

0.754789 0.693286 0.11668 0.754789 0.749537 0.190715 

0.754959 0.693092 0.116557 0.754959 0.74944 0.190482 

0.755128 0.692898 0.116435 0.755128 0.749343 0.190249 

0.755298 0.692704 0.116312 0.755298 0.749246 0.190017 

0.755467 0.69251 0.11619 0.755467 0.749149 0.189784 

0.755637 0.692315 0.116068 0.755637 0.749052 0.189552 

0.755807 0.69212 0.115946 0.755807 0.748954 0.189319 

0.755976 0.691924 0.115824 0.755976 0.748856 0.189086 

0.756146 0.691729 0.115702 0.756146 0.748759 0.188854 

0.756315 0.691533 0.11558 0.756315 0.74866 0.188621 

0.756485 0.691336 0.115458 0.756485 0.748562 0.188389 

0.756654 0.691139 0.115336 0.756654 0.748464 0.188156 

0.756824 0.690942 0.115215 0.756824 0.748365 0.187924 

0.756993 0.690745 0.115093 0.756993 0.748267 0.187691 

0.757163 0.690547 0.114972 0.757163 0.748168 0.187459 

0.757333 0.690349 0.11485 0.757333 0.748069 0.187226 

0.757502 0.690151 0.114729 0.757502 0.74797 0.186994 

0.757672 0.689952 0.114608 0.757672 0.74787 0.186762 

0.757841 0.689753 0.114487 0.757841 0.747771 0.186529 

0.758011 0.689553 0.114366 0.758011 0.747671 0.186297 

0.75818 0.689354 0.114245 0.75818 0.747571 0.186064 

0.75835 0.689153 0.114124 0.75835 0.747471 0.185832 

0.758519 0.688953 0.114003 0.758519 0.747371 0.1856 

0.758689 0.688752 0.113882 0.758689 0.74727 0.185367 

0.758859 0.688551 0.113762 0.758859 0.74717 0.185135 

0.759028 0.68835 0.113641 0.759028 0.747069 0.184902 

0.759198 0.688148 0.113521 0.759198 0.746968 0.18467 

0.759367 0.687945 0.1134 0.759367 0.746867 0.184438 

0.759537 0.687743 0.11328 0.759537 0.746766 0.184205 

0.759706 0.68754 0.11316 0.759706 0.746664 0.183973 

0.759876 0.687337 0.11304 0.759876 0.746563 0.183741 

0.760045 0.687133 0.11292 0.760045 0.746461 0.183508 

0.760215 0.686929 0.1128 0.760215 0.746359 0.183276 

0.760385 0.686725 0.11268 0.760385 0.746257 0.183044 

0.760554 0.68652 0.11256 0.760554 0.746154 0.182811 

0.760724 0.686315 0.11244 0.760724 0.746052 0.182579 

0.760893 0.68611 0.112321 0.760893 0.745949 0.182347 

0.761063 0.685904 0.112201 0.761063 0.745846 0.182114 

0.761232 0.685698 0.112082 0.761232 0.745743 0.181882 

0.761402 0.685491 0.111962 0.761402 0.74564 0.18165 

0.761571 0.685285 0.111843 0.761571 0.745536 0.181417 

0.761741 0.685077 0.111724 0.761741 0.745433 0.181185 

0.761911 0.68487 0.111605 0.761911 0.745329 0.180952 

0.76208 0.684662 0.111486 0.76208 0.745225 0.18072 

0.76225 0.684453 0.111367 0.76225 0.745121 0.180488 

0.762419 0.684245 0.111248 0.762419 0.745017 0.180255 

0.762589 0.684036 0.111129 0.762589 0.744912 0.180023 

0.762758 0.683826 0.11101 0.762758 0.744807 0.179791 

0.762928 0.683616 0.110892 0.762928 0.744702 0.179558 

0.763098 0.683406 0.110773 0.763098 0.744597 0.179326 

0.763267 0.683196 0.110655 0.763267 0.744492 0.179094 

0.763437 0.682985 0.110536 0.763437 0.744387 0.178861 

0.763606 0.682773 0.110418 0.763606 0.744281 0.178629 

0.763776 0.682562 0.1103 0.763776 0.744175 0.178396 

0.763945 0.68235 0.110181 0.763945 0.744069 0.178164 

0.764115 0.682137 0.110063 0.764115 0.743963 0.177931 

0.764284 0.681924 0.109945 0.764284 0.743856 0.177699 

0.764454 0.681711 0.109827 0.764454 0.74375 0.177467 

0.764624 0.681498 0.109709 0.764624 0.743643 0.177234 

0.764793 0.681284 0.109592 0.764793 0.743536 0.177002 

0.764963 0.681069 0.109474 0.764963 0.743429 0.176769 

0.765132 0.680854 0.109356 0.765132 0.743321 0.176537 

0.765302 0.680639 0.109239 0.765302 0.743214 0.176304 

0.765471 0.680424 0.109121 0.765471 0.743106 0.176072 

0.765641 0.680208 0.109004 0.765641 0.742998 0.175839 

0.76581 0.679991 0.108887 0.76581 0.74289 0.175606 

0.76598 0.679774 0.108769 0.76598 0.742781 0.175374 

0.76615 0.679557 0.108652 0.76615 0.742673 0.175141 

0.766319 0.67934 0.108535 0.766319 0.742564 0.174909 

0.766489 0.679122 0.108418 0.766489 0.742455 0.174676 

0.766658 0.678903 0.108301 0.766658 0.742346 0.174443 

0.766828 0.678685 0.108184 0.766828 0.742236 0.174211 

0.766997 0.678465 0.108068 0.766997 0.742127 0.173978 

0.767167 0.678246 0.107951 0.767167 0.742017 0.173745 

0.767336 0.678026 0.107834 0.767336 0.741907 0.173513 

0.767506 0.677805 0.107718 0.767506 0.741797 0.17328 

0.767676 0.677584 0.107601 0.767676 0.741686 0.173047 

0.767845 0.677363 0.107485 0.767845 0.741576 0.172814 

0.768015 0.677142 0.107369 0.768015 0.741465 0.172582 

0.768184 0.676919 0.107253 0.768184 0.741354 0.172349 

0.768354 0.676697 0.107136 0.768354 0.741243 0.172116 

0.768523 0.676474 0.10702 0.768523 0.741131 0.171883 

0.768693 0.676251 0.106904 0.768693 0.741019 0.17165 

0.768862 0.676027 0.106789 0.768862 0.740908 0.171417 

0.769032 0.675803 0.106673 0.769032 0.740795 0.171184 

0.769202 0.675578 0.106557 0.769202 0.740683 0.170951 

0.769371 0.675353 0.106441 0.769371 0.740571 0.170718 

0.769541 0.675127 0.106326 0.769541 0.740458 0.170485 

0.76971 0.674902 0.10621 0.76971 0.740345 0.170252 

0.76988 0.674675 0.106095 0.76988 0.740232 0.170019 

0.770049 0.674448 0.105979 0.770049 0.740118 0.169786 

0.770219 0.674221 0.105864 0.770219 0.740005 0.169553 

0.770388 0.673993 0.105749 0.770388 0.739891 0.16932 

0.770558 0.673765 0.105634 0.770558 0.739777 0.169086 

0.770728 0.673537 0.105519 0.770728 0.739663 0.168853 

0.770897 0.673308 0.105404 0.770897 0.739548 0.16862 

0.771067 0.673078 0.105289 0.771067 0.739433 0.168387 

0.771236 0.672848 0.105174 0.771236 0.739318 0.168153 

0.771406 0.672618 0.105059 0.771406 0.739203 0.16792 

0.771575 0.672387 0.104944 0.771575 0.739088 0.167686 

0.771745 0.672156 0.10483 0.771745 0.738972 0.167453 

0.771915 0.671924 0.104715 0.771915 0.738856 0.167219 

0.772084 0.671692 0.104601 0.772084 0.73874 0.166986 

0.772254 0.671459 0.104486 0.772254 0.738624 0.166752 

0.772423 0.671226 0.104372 0.772423 0.738507 0.166519 

0.772593 0.670993 0.104258 0.772593 0.738391 0.166285 

0.772762 0.670759 0.104144 0.772762 0.738274 0.166051 

0.772932 0.670524 0.10403 0.772932 0.738156 0.165817 

0.773101 0.670289 0.103916 0.773101 0.738039 0.165584 

0.773271 0.670054 0.103802 0.773271 0.737921 0.16535 

0.773441 0.669818 0.103688 0.773441 0.737803 0.165116 

0.77361 0.669582 0.103574 0.77361 0.737685 0.164882 

0.77378 0.669345 0.10346 0.77378 0.737567 0.164648 

0.773949 0.669107 0.103347 0.773949 0.737448 0.164414 

0.774119 0.66887 0.103233 0.774119 0.737329 0.16418 

0.774288 0.668631 0.10312 0.774288 0.73721 0.163946 

0.774458 0.668393 0.103006 0.774458 0.73709 0.163712 

0.774627 0.668153 0.102893 0.774627 0.736971 0.163477 

0.774797 0.667914 0.10278 0.774797 0.736851 0.163243 

0.774967 0.667673 0.102666 0.774967 0.736731 0.163009 

0.775136 0.667433 0.102553 0.775136 0.73661 0.162774 

0.775306 0.667191 0.10244 0.775306 0.73649 0.16254 

0.775475 0.66695 0.102327 0.775475 0.736369 0.162305 

0.775645 0.666707 0.102214 0.775645 0.736248 0.162071 

0.775814 0.666465 0.102101 0.775814 0.736126 0.161836 

0.775984 0.666221 0.101989 0.775984 0.736005 0.161602 

0.776153 0.665978 0.101876 0.776153 0.735883 0.161367 

0.776323 0.665733 0.101763 0.776323 0.735761 0.161132 

0.776493 0.665489 0.101651 0.776493 0.735638 0.160897 

0.776662 0.665243 0.101538 0.776662 0.735516 0.160662 

0.776832 0.664998 0.101426 0.776832 0.735393 0.160428 

0.777001 0.664751 0.101314 0.777001 0.73527 0.160193 

0.777171 0.664504 0.101201 0.777171 0.735146 0.159957 

0.77734 0.664257 0.101089 0.77734 0.735023 0.159722 

0.77751 0.664009 0.100977 0.77751 0.734899 0.159487 

0.777679 0.663761 0.100865 0.777679 0.734775 0.159252 

0.777849 0.663512 0.100753 0.777849 0.73465 0.159016 

0.778019 0.663262 0.100641 0.778019 0.734525 0.158781 

